X,Y,OBJECTID,ParkName,PostKatrinaRehab,ActivePassive,AllPurposeField,AllPurposeFieldRating,BatingCages,BatingCagesRating,Benches,BenchesRating,Bleachers,BleachersRating,BoosterClub,BoosterClubRating,ClubHouse,ClubHouseRating,ConcessionBuilding,ConcessionBuildingRating,DanceStudio,DanceStudioRating,Dugouts,DugoutsRating,FacilityLighting,FacilityLightingRating,Fencing,FencingRating,IndoorBasketball,IndoorBasketballRating,IndoorPool,IndoorPoolRating,OffstreetParking,OffstreetParkingRating,OutdoorBasketball,OutdoorBasketballRating,OutdoorSwimming,OutdoorSwimmingRating,OutdoorCoveredBasketball,OutdoorCoveredBasketballRating,PlaygroundEquipment,PlaygroundEquipmentRating,Portolets,PortoletsRating,RecreationCenter,RecreationCenterRating,RestroomBuilding,RestroomBuildingRating,Showers,ShowersRating,SoccerStadium,SoccerStadiumRating,Stadium,StadiumRating,Stage,StageRating,TennisBuilding,TennisBuildingRating,TennisCourts,TennisCourtsRating,TrackField,TrackFieldRating,VolleyballCourtStandards,VolleyballCourtStandardsRating,WaterFoutains,WaterFountainsRating,GraffitiTrash,WheelchairStroller,ItemsToBeAdded,Notes
3674509.63749255,525296.339286894,29,A. L. Davis,Unknown,Active,Yes,0,No,,Yes,0,Yes,0,Yes,,No,,No,,No,,No,,Yes,,Yes,,No,,No,,No,,,,Yes,,Yes,,Yes,3,No,,No,,No,,,,No,,No,,No,,No,,Yes,1,No,,No,,No,,Extensive,Average,,"Four basketball goals; extensive trash throughout; soccer goals ripped; no access to buildings"
3672025.11752722,522994.453142643,30,Atkinson Tennis Center,Unknown,Active,No,,No,,Yes,0,No,,No,,Yes,,No,,No,,No,,Yes,,Yes,0,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,Yes,,Yes,0,No,,No,,No,,Clear,Average,,Nine tennis courts
3668315.94679597,523418.033988401,31,Evans Playground,Unknown,Active,,,No,,Yes,0,Yes,0,No,,No,,Yes,,No,,Yes,0,Yes,,Yes,0,No,,No,,No,,,,No,,Yes,0,Yes,0,No,,No,,Yes,,,,No,,No,,No,,No,,No,,No,,No,,Yes,0,Clear,Average,,"Four basketball goals, one net ripped; one water fountain; partial all-purpose field next to baseball field"
3685873.80964606,552717.948157474,32,Milne Playground and St James Playspot,Unknown,Active,Yes,0,Yes,2,Yes,0,Yes,0,,,,,Yes,0,No,,Yes,0,Yes,0,Yes,0,No,,No,,No,,No,,No,,No,,Yes,1,No,,No,,Yes,1,No,,No,,No,,No,,No,,No,,No,,No,,No,,Clear,Average,Water Fountains,"Looked at sports field and adjacent play area. Swing on playground has S hook that is not clamped and chain can detach from swing. Mens bathroom sign needs replacing, fencing in batting cages needs replacing. Adjacent field has old rusty fence that should be removed."
3660906.10236372,523138.655610144,33,Carver Playground,Unknown,Active,Yes,0,No,,Yes,,Yes,1,No,,No,,Yes,,No,,Yes,0,Yes,,Yes,0,No,,No,,No,,No,,No,,Yes,0,Yes,1,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,0,Clear,Good,,"Five basketball goals, three benches"
3671370.39377105,549165.347979233,34,Gernon Brown Rec Center,Unknown,Active,No,,No,,Yes,,Yes,0,No,,No,,Yes,,Yes,0,No,,Yes,0,No,,Yes,0,No,,Yes,0,No,,No,,No,,No,,No,,Yes,0,Yes,1,Yes,0,No,,No,,Yes,0,No,,No,,No,,Yes,0,Yes,0,Clear,Good,,"Six basketball goals, one shower in each locker room, restroom and concessions are in rec center"
3669271.78937247,543151.671358317,35,Lakeview Playground,Unknown,Active,No,,Yes,0,No,,Yes,0,No,,No,,Yes,0,No,,Yes,0,Yes,,Yes,0,No,,No,,Yes,0,No,,No,,No,,Yes,0,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,,,Clear,Poor,,"Six baseball fields, two bleachers for each, outdoor gym equipment, two batting cages"
3669281.7079878,542797.885648564,36,Kirsh-Rooney Stadium,Unknown,Active,No,,Yes,0,Yes,0,Yes,0,No,,No,,Yes,,No,,Yes,0,Yes,,Yes,0,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,Yes,,,,No,,Yes,0,No,,No,,No,,No,,No,,Yes,,Clear,Good,,No access
3719762.7349783,573470.889919221,37,East shore park,Unknown,Active,Yes,2,Yes,2,Yes,2,Yes,2,No,,No,,Yes,1,No,,No,,Yes,2,Yes,1,No,,No,,Yes,1,No,,No,,Yes,2,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Minimal,,"Water fountain, restrooms","Broken benches and bleachers, basketball court has holes on ground and graffiti on backboards, access to batting cage is covered by trees, old playground is behind broken fence, low spot in field flooded"
3698411.33181505,560236.373081222,38,Kenilworth,Unknown,Active,Yes,0,Yes,2,Yes,0,Yes,1,No,,No,,Yes,0,No,,Yes,0,Yes,0,Yes,1,No,,No,,No,,Yes,2,No,,No,,Yes,1,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Minimal,Poor,Water fountain,"Basketball court needs everything, holes in playground padding, batting cages are in very poor condition"
3697511.47469088,555778.156932056,39,Digby playground,No,Active,Yes,0,Yes,2,Yes,0,Yes,3,No,,No,,No,,No,,Yes,3,,0,Yes,1,No,,No,,Yes,2,Yes,0,No,,Yes,2,Yes,1,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Extensive,Average,"Water fountains, rest room, batting cages","Baseball fences in poor condition, all but one dug put and bleacher areas broken and unuseable. Playground has some graffiti and broken equipment, broken backboard in indoor basketball court, parking area unpaved"
3689159.91002922,558158.367066652,40,Westley barrow stadium,Unknown,Active,No,,Yes,1,Yes,0,Yes,0,Yes,0,No,,Yes,0,No,,Yes,0,Yes,0,Yes,0,No,,No,,Yes,1,No,,No,,No,,No,,Yes,0,No,,No,,No,,No,,Yes,0,No,,No,,No,,No,,No,,Yes,0,Clear,Good,,Netting was tangled up inside batting cages
3689884.70319906,554146.499106139,41,Pontratrain park,Unknown,Active,Yes,0,Yes,0,Yes,0,Yes,0,No,,Yes,0,Yes,0,No,,Yes,0,Yes,0,Yes,0,No,,No,,Yes,2,Yes,0,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,Yes,0,Yes,0,No,,No,,Yes,0,Minimal,Poor,,"Basketball courts near Haynes have broken nets and excessive trash, parking lot near playground unpaved. Sidewalk stops and starts again near Haynes and congress"
3678421.76746355,540280.255841315,42,Olive Stallings playground,Unknown,Active,Yes,0,No,,Yes,0,Yes,0,No,,No,,No,,No,,No,,Yes,0,Yes,0,No,,No,,No,,Yes,0,Yes,0,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Minimal,Poor,"Water fountains, signage",
3674953.18975505,537901.133959144,43,Easton playground,Unknown,Active,Yes,0,No,,Yes,1,Yes,1,No,,No,,Yes,0,No,,Yes,1,Yes,0,Yes,1,No,,No,,Yes,2,No,,No,,No,,Yes,0,No,,No,,Yes,0,No,,No,,No,,Yes,0,No,,No,,No,,No,,Yes,0,Minimal,Poor,Bathroom signs,"Bleachers dented, dug out benches need replacing, netting behind football goal has fallen down, trash at far end of field where there is no trash bin, parking area  does not connect to street, bathroom/concession building does not have bathroom signs, fence needs replacing in a few spots"
3678837.71282588,534720.365058228,44,Lehmann pool,Unknown,Active,Yes,0,No,,Yes,2,No,,No,,No,,No,,No,,No,,Yes,2,No,,No,,No,,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Clear,Good,"Lighting on play field, water fountains",Area by pool has no playground. Playground a few blocks up has no nordc signage. Lights on Greenway not on play field. Some broken benches
3679825.07404013,534066.447074726,45,Lehman park 2,Unknown,Active,Yes,0,No,,Yes,2,Yes,0,No,,No,,No,,No,,No,,Yes,2,Yes,0,No,,No,,No,,Yes,2,No,,No,,Yes,0,Yes,1,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,2,Clear,Average,"Lighting on basketball court, repaint lines",Basketball benches and water fountain broken
3680995.46868096,534817.907185972,46,Treme received center,Unknown,Active,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,Yes,0,Yes,0,Yes,0,Yes,0,No,,No,,No,,No,,Yes,0,No,,Yes,0,No,,Yes,0,No,,No,,Yes,0,No,,No,,No,,No,,No,,Clear,Average,Outdoor water fountain,
3693308.16846497,523440.615308061,47,Skelly Rupp Memorial Stadium,Unknown,Active,No,,Yes,,No,,Yes,0,No,,No,,Yes,1,No,,Yes,,Yes,,Yes,0,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,Yes,,No,,No,,Yes,0,No,,No,,No,,No,,No,,Yes,,Clear,Good,,Locked- no access inside fencing
3672661.54013889,531036.248082638,48,Rosenwald Center,No,Active,No,,No,,Yes,0,Yes,0,No,,No,,Yes,0,No,,No,,Yes,0,No,,Yes,,No,,No,,No,,Yes,2,No,,No,,No,,Yes,0,Yes,0,No,,No,,No,,Yes,0,No,,No,,No,,Yes,0,Yes,0,Clear,Good,Indoor gym,Pool is under construction
3682712.40586388,535558.077621639,49,Esplanade Property (1151),No,Passive,Yes,2,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Extensive,Poor,,Property has no amenities on it
